zip,city,state,latitude,longitude
40059,PROSPECT,KY,38.346433422,-85.58953293
40060,RAYWICK,KY,37.547162561,-85.43133683
40062,SAINT FRANCIS,KY,37.605512183,-85.42903184
40065,SHELBYVILLE,KY,38.208678872,-85.22081756
40067,SIMPSONVILLE,KY,38.220547019,-85.35980826
40068,SMITHFIELD,KY,38.390144013,-85.28084552
40069,SPRINGFIELD,KY,37.70521237,-85.22481734
40070,SULPHUR,KY,38.481341502,-85.25033597
40071,TAYLORSVILLE,KY,38.064004522,-85.37079341
40075,TURNERS STATION,KY,38.559307229,-85.11992338
40076,WADDY,KY,38.122275263,-85.07761022
40077,WESTPORT,KY,38.489552719,-85.44610107
40078,WILLISBURG,KY,37.837270644,-85.1460151
40104,BATTLETOWN,KY,38.072677705,-86.33782842
40107,BOSTON,KY,37.766696072,-85.63634023
40108,BRANDENBURG,KY,37.973179856,-86.15118019
40109,BROOKS,KY,38.060089236,-85.73699266
40111,CLOVERPORT,KY,37.821227897,-86.63065384
40115,CUSTER,KY,37.730179592,-86.23013442
40117,EKRON,KY,37.902430913,-86.1170162
40118,FAIRDALE,KY,38.108654127,-85.75585037
40119,FALLS OF ROUGH,KY,37.596339714,-86.51325628
40121,FORT KNOX,KY,37.893392543,-85.96320612
40140,GARFIELD,KY,37.728098755,-86.2947399
40142,GUSTON,KY,37.897068232,-86.210564
40143,HARDINSBURG,KY,37.770936031,-86.47433009
40144,HARNED,KY,37.74530444,-86.38341905
40145,HUDSON,KY,37.627601456,-86.31067278
40146,IRVINGTON,KY,37.854437639,-86.29801927
40150,LEBANON JUNCTION,KY,37.866959703,-85.71960308
40152,MC DANIELS,KY,37.616586842,-86.44551259
40155,MULDRAUGH,KY,37.93542981,-85.99081787
40157,PAYNEVILLE,KY,38.019621023,-86.35941244
40160,RADCLIFF,KY,37.825029647,-85.94134954
40161,RHODELIA,KY,37.996017554,-86.39880785
40162,RINEYVILLE,KY,37.749836725,-85.9828604
40165,SHEPHERDSVILLE,KY,38.00668068,-85.68946067
40170,STEPHENSPORT,KY,37.932798239,-86.48664968
40171,UNION STAR,KY,37.95618022,-86.43749137
40175,VINE GROVE,KY,37.830145376,-86.02063467
40176,WEBSTER,KY,37.926071325,-86.34623545
40177,WEST POINT,KY,38.001967668,-85.93330725
40178,WESTVIEW,KY,37.660181818,-86.41346715
40202,LOUISVILLE,KY,38.251005541,-85.74881941
40203,LOUISVILLE,KY,38.24279263,-85.76104827
40204,LOUISVILLE,KY,38.237561708,-85.72394341
40205,LOUISVILLE,KY,38.222150411,-85.68758841
40206,LOUISVILLE,KY,38.257363644,-85.70017028
40207,LOUISVILLE,KY,38.256058413,-85.64851392
40208,LOUISVILLE,KY,38.220186797,-85.76535854
40209,LOUISVILLE,KY,38.190988513,-85.75696662
40210,LOUISVILLE,KY,38.230334623,-85.79025609
40211,LOUISVILLE,KY,38.242544857,-85.81214155
40212,LOUISVILLE,KY,38.265086936,-85.80459833
40213,LOUISVILLE,KY,38.187033647,-85.70937491
40214,LOUISVILLE,KY,38.158336596,-85.77968864
40215,LOUISVILLE,KY,38.191926546,-85.78504796
40216,LOUISVILLE,KY,38.185101358,-85.83084286
40217,LOUISVILLE,KY,38.217753159,-85.73928631
40218,LOUISVILLE,KY,38.19274998,-85.6536096
40219,LOUISVILLE,KY,38.142899303,-85.67649003
40220,LOUISVILLE,KY,38.21391389,-85.61993974
40222,LOUISVILLE,KY,38.262985448,-85.61007566
40223,LOUISVILLE,KY,38.253055763,-85.55812798
40228,LOUISVILLE,KY,38.139792786,-85.62848744
40229,LOUISVILLE,KY,38.091851378,-85.66496314
40241,LOUISVILLE,KY,38.304031239,-85.57472393
40242,LOUISVILLE,KY,38.276303061,-85.59029252
40243,LOUISVILLE,KY,38.237263659,-85.53494849
40245,LOUISVILLE,KY,38.269207961,-85.48086916
40258,LOUISVILLE,KY,38.143748061,-85.86501455
40272,LOUISVILLE,KY,38.098124469,-85.8598796
40291,LOUISVILLE,KY,38.143830005,-85.58807812
40299,LOUISVILLE,KY,38.187351632,-85.55912404
40311,CARLISLE,KY,38.3205072,-84.02961509
40312,CLAY CITY,KY,37.858565805,-83.93934523
40313,CLEARFIELD,KY,38.156794427,-83.42205152
40316,DENNISTON,KY,37.939645157,-83.52180178
40322,FRENCHBURG,KY,37.940282553,-83.6320435
40324,GEORGETOWN,KY,38.219345861,-84.55838938
40328,GRAVEL SWITCH,KY,37.574887847,-85.04119415
40330,HARRODSBURG,KY,37.773226908,-84.8499209
40334,HOPE,KY,38.019380674,-83.7612243
40336,IRVINE,KY,37.70427496,-83.99505349
40337,JEFFERSONVILLE,KY,37.961888687,-83.85123114
40342,LAWRENCEBURG,KY,38.027311665,-84.92496549
40346,MEANS,KY,37.97573757,-83.74661086
40347,MIDWAY,KY,38.160864416,-84.7042711
40350,MOOREFIELD,KY,38.292218118,-83.88902906
40351,MOREHEAD,KY,38.198959723,-83.44530763
40353,MOUNT STERLING,KY,38.056700782,-83.93914634
40355,NEW LIBERTY,KY,38.60176304,-84.88089067
40356,NICHOLASVILLE,KY,37.890912318,-84.57016653
40358,OLYMPIA,KY,38.066028142,-83.68030971
40359,OWENTON,KY,38.506205247,-84.82498551
40360,OWINGSVILLE,KY,38.13774891,-83.75870631
40361,PARIS,KY,38.200730577,-84.25095545
40370,SADIEVILLE,KY,38.388779849,-84.52330561
40371,SALT LICK,KY,38.104556184,-83.61550487
40372,SALVISA,KY,37.910194687,-84.87438474
40374,SHARPSBURG,KY,38.216678733,-83.90923474
40376,SLADE,KY,37.7865804,-83.69925047
40379,STAMPING GROUND,KY,38.291733584,-84.68648691
40380,STANTON,KY,37.841311292,-83.83243979
40383,VERSAILLES,KY,38.03355595,-84.72697061
